iteration,stream_idx,dino_score,clipI_score,image_file,model,judge_tag
2,4,0.8315231800079346,0.907752513885498,iter02_stream04.png,Qwen-Image,gpt_4o_mini
2,5,0.8365869522094727,0.8492034673690796,iter02_stream05.png,Qwen-Image,gpt_4o_mini
3,0,0.5390084981918335,0.8403173685073853,iter03_stream00.png,Qwen-Image,gpt_4o_mini
3,1,0.7575922608375549,0.7841251492500305,iter03_stream01.png,Qwen-Image,gpt_4o_mini
3,2,0.8112455606460571,0.8554773330688477,iter03_stream02.png,Qwen-Image,gpt_4o_mini
3,3,0.8376778364181519,0.9012166261672974,iter03_stream03.png,Qwen-Image,gpt_4o_mini
3,4,0.7353600263595581,0.8251398205757141,iter03_stream04.png,Qwen-Image,gpt_4o_mini
3,5,0.7242110967636108,0.8557186126708984,iter03_stream05.png,Qwen-Image,gpt_4o_mini
4,0,0.7535440325737,0.8708518147468567,iter04_stream00.png,Qwen-Image,gpt_4o_mini
4,1,0.7271718978881836,0.9028750658035278,iter04_stream01.png,Qwen-Image,gpt_4o_mini
4,2,0.7225443124771118,0.7958458662033081,iter04_stream02.png,Qwen-Image,gpt_4o_mini
4,3,0.7869607210159302,0.8092620372772217,iter04_stream03.png,Qwen-Image,gpt_4o_mini
4,4,0.7707304954528809,0.844397783279419,iter04_stream04.png,Qwen-Image,gpt_4o_mini
4,5,0.8064138889312744,0.772384524345398,iter04_stream05.png,Qwen-Image,gpt_4o_mini
5,0,0.7858997583389282,0.8944196105003357,iter05_stream00.png,Qwen-Image,gpt_4o_mini
5,1,0.7903355360031128,0.8741149306297302,iter05_stream01.png,Qwen-Image,gpt_4o_mini
5,2,0.768593966960907,0.8357382416725159,iter05_stream02.png,Qwen-Image,gpt_4o_mini
5,3,0.5672772526741028,0.6200149059295654,iter05_stream03.png,Qwen-Image,gpt_4o_mini
5,4,0.7481569051742554,0.8317898511886597,iter05_stream04.png,Qwen-Image,gpt_4o_mini
5,5,0.4146804213523865,0.8013653755187988,iter05_stream05.png,Qwen-Image,gpt_4o_mini
